"","dbn","school_name","num.of.sat.test.takers","avg_sat_score","ap.test.takers","total.exams.taken","exams_per_student","high_score_percent","avg_class_size","frl_percent","total_enrollment","ell_percent","sped_percent","selfcontained_num","asian_per","black_per","hispanic_per","white_per","male_per","female_per","total.cohort","grads_percent","dropout_percent","boro","lat","long","d75","saf_p_11","com_p_11","eng_p_11","aca_p_11","saf_t_11","com_t_11","eng_t_11","aca_t_11","saf_s_11","com_s_11","eng_s_11","aca_s_11","saf_tot_11","com_tot_11","eng_tot_11","aca_tot_11"
"1","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",29,1122,2.5,NA,NA,NA,23,88.6,422,22.3,24.9,35,14,29.1,53.8,1.7,61.4,38.6,78,55.1,14.1,"Manhattan",40.7137639470004,-73.9852600399997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",91,1172,39,49,1.25641025641026,20.4081632653061,22,71.8,394,21.1,21.8,10,29.2,22.6,45.9,2.3,57.4,42.6,124,42.7,16.1,"Manhattan",40.712331851,-73.9847966249997,0,7.9,7.4,7.2,7.3,6.6,5.8,6.6,7.3,6,5.7,6.3,7,6.8,6.3,6.7,7.2
"3","01M450","EAST SIDE COMMUNITY SCHOOL",70,1149,19,21,1.10526315789474,NA,21,71.8,598,5,26.4,19,9.7,23.9,55.4,10.4,54.7,45.3,90,77.8,5.6,"Manhattan",40.7297826870005,-73.9830414409997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","01M458","FORSYTH SATELLITE ACADEMY",7,1174,2.5,NA,NA,NA,23,72.8,224,4,8.9,0,2.2,34.4,59.4,3.6,43.3,56.7,NA,NA,NA,NA,NA,NA,0,8.1,7,6.7,7.6,8.5,8.2,8.9,8.9,6.8,6.1,6.1,6.8,7.8,7.1,7.2,7.8
"5","01M509","MARTA VALLE HIGH SCHOOL",44,1207,2.5,NA,NA,NA,24,80.7,367,11.2,25.9,36,9.3,31.6,56.9,1.6,46.3,53.7,84,56,6,"Manhattan",40.7205690790005,-73.9856726909996,0,7.7,7.4,7.2,7.3,6.4,5.3,6.1,6.8,6.4,5.9,6.4,7,6.9,6.2,6.6,7
"6","01M515","LOWER EAST SIDE PREPARATORY HIGH SCHOOL",112,1205,24,26,1.08333333333333,92.3076923076923,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,54.4,18.1,NA,NA,NA,0,8.3,7.2,7.4,7.5,9.1,7.3,8.7,9.1,8,6.3,7,7.3,8.5,7,7.7,8
"7","01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,1621,255,377,1.47843137254902,50.6631299734748,26,23,1613,0.2,2.7,0,27.8,11.7,14.2,44.9,49.2,50.8,46,100,0,"Manhattan",40.7187254510005,-73.9794263859997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","01M650","CASCADES HIGH SCHOOL",18,1246,2.5,NA,NA,NA,22,69.8,218,3.2,6.9,0,0.5,45.4,49.5,4.1,39.9,60.1,89,55.1,6.7,NA,NA,NA,0,9,8.4,8.1,8.6,7.6,7.5,8.3,8.7,8.1,6.9,7.9,8.4,8.3,7.6,8.1,8.6
"9","01M696","BARD HIGH SCHOOL EARLY COLLEGE",130,1856,2.5,NA,NA,NA,21,18,617,0.2,0.8,0,15.1,15.1,18.2,49.8,31.3,68.7,139,96.4,0.7,"Manhattan",40.7189616170004,-73.9760660209997,0,8.8,8.2,8.3,9.1,8.2,7.4,7.5,8.3,8.3,7.3,8,8.9,8.5,7.6,8,8.7
"10","02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL",16,1182,2.5,NA,NA,NA,16,66.9,174,8,32.2,10,1.7,32.2,59.2,6.3,42.5,57.5,25,76,4,"Manhattan",40.7385990870005,-73.9825119109997,0,8.9,7.7,7.9,8.1,8.1,6.1,7.7,7.2,7.3,6.3,7,7.5,8.1,6.7,7.5,7.6
"11","02M288","FOOD AND FINANCE HIGH SCHOOL",62,1194,2.5,NA,NA,NA,23,68.4,433,2.1,18.5,4,3,44.1,47.6,4.8,45,55,102,89.2,2.9,"Manhattan",40.7650267080004,-73.9925165779997,0,7.6,7,6.9,7.6,7.3,7.1,7.8,7.7,6.2,5.7,6.1,7.2,7,6.6,6.9,7.5
"12","02M294","ESSEX STREET ACADEMY",53,1156,2.5,NA,NA,NA,15,60.8,343,3.8,20.4,2,4.1,27.7,60.6,7.6,53.4,46.6,89,71.9,10.1,"Manhattan",40.7168672240004,-73.9895319429996,0,8.7,8.1,7.9,8.3,8,7.7,7.9,8.9,7.4,6.5,7.3,7.6,7.9,7.3,7.7,8.2
"13","02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT",58,1111,2.5,NA,NA,NA,23,72.4,419,9.5,14.8,17,5.3,26.5,66.1,2.1,32.2,67.8,75,77.3,6.7,"Manhattan",40.7650267080004,-73.9925165779997,0,8,7.3,7.1,7.5,8.6,8.1,8.7,8.9,7.1,6.5,7,7.4,7.9,7.3,7.6,8
"14","02M298","PACE HIGH SCHOOL",85,1293,21,21,1,NA,21,56.7,414,2.2,13.8,3,10.1,32.4,42,3.9,43.7,56.3,92,84.8,4.3,"Manhattan",40.7164123930005,-73.9926758439997,0,7.5,7.1,6.9,7.5,6.6,6.3,6.8,7.1,6.6,6.2,6.7,7.5,6.9,6.6,6.8,7.4
"15","02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,1269,99,117,1.18181818181818,8.54700854700855,23,75.3,431,10.9,20,12,6,29.2,59.2,4.9,74.9,25.1,80,61.3,8.8,"Manhattan",40.7650267080004,-73.9925165779997,0,8.6,7.9,7.7,8.1,7.3,6,6.9,7.5,6.5,5.7,6.1,7.2,7.5,6.5,6.9,7.6
"16","02M303","FACING HISTORY SCHOOL, THE",76,1051,42,44,1.04761904761905,NA,22,75.6,451,20.8,21.7,9,0.7,23.5,73.2,2.4,50.6,49.4,71,47.9,19.7,"Manhattan",40.7650267080004,-73.9925165779997,0,8.2,7.8,7.6,8,7.4,7.4,7.7,7.9,7,6.6,6.8,7.4,7.5,7.3,7.3,7.8
"17","02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,1148,25,37,1.48,40.5405405405405,21,68.3,312,6.1,17,5,3.8,41.7,50.6,3.5,43.9,56.1,61,75.4,16.4,"Manhattan",40.7168672240004,-73.9895319429996,0,7.5,7.4,7.3,7.7,5.4,4.3,5.8,6,6,6,6,7.2,6.1,5.6,6.2,6.8
"18","02M308","LOWER MANHATTAN ARTS ACADEMY",40,1200,2.5,NA,NA,NA,23,62.2,336,3.9,24.7,3,9.5,30.7,55.7,3.6,39.9,60.1,68,67.6,8.8,"Manhattan",40.7168672240004,-73.9895319429996,0,7.8,7.4,7.3,7.4,7.4,7.5,7.7,8,6.6,5.8,6.7,7.3,7.3,6.9,7.2,7.6
"19","02M313","JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,1188,2.5,NA,NA,NA,22,51,248,4.8,12.9,1,4,34.3,54.4,6.5,52.4,47.6,79,51.9,15.2,NA,NA,NA,0,8.5,8,7.8,7.9,7.5,7.5,7.9,8.3,7.6,7.4,7.4,8.2,7.9,7.6,7.7,8.1
"20","02M316","URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,1127,2.5,NA,NA,NA,26,74.9,378,2.6,15.6,2,3.4,46.8,48.4,1.3,0,100,72,73.6,5.6,"Manhattan",40.7052349390004,-74.0133150399997,0,8.4,7.6,7.5,7.9,7,6.2,6.5,7.4,6.8,6.4,6.7,7.6,7.4,6.7,6.9,7.6
"21","02M374","GRAMERCY ARTS HIGH SCHOOL",60,1176,2.5,NA,NA,NA,27,59,495,3,12.3,0,2.8,45.3,45.1,6.7,26.3,73.7,93,73.1,7.5,"Manhattan",40.7355194630004,-73.9876042489997,0,8.2,7.6,7.7,8.1,6.4,5.5,6.7,6.7,6.1,6,6.3,7.2,6.9,6.4,6.9,7.4
"22","02M376","NYC ISCHOOL",92,1435,2.5,NA,NA,NA,37,34.6,433,0.5,10.9,1,11.5,20.6,43,24,48.7,51.3,NA,NA,NA,"Manhattan",40.7243528740004,-74.0047592919997,0,8.6,8.3,7.8,8,7.7,6.5,6.8,7.4,7.8,7,7.6,8.1,8,7.3,7.4,7.9
"23","02M392","MANHATTAN BUSINESS ACADEMY",NA,NA,2.5,NA,NA,NA,25,64,332,9.9,13.9,2,6.6,29.5,58.7,4.8,59,41,NA,NA,NA,"Manhattan",40.7428881010004,-74.0021273809996,0,8.3,8,7.6,8.2,7.4,7.5,7.5,8.2,6.9,6.4,6.8,7.5,7.5,7.3,7.3,8
"24","02M393","BUSINESS OF SPORTS SCHOOL",NA,NA,2.5,NA,NA,NA,22,58.7,304,7.6,21.4,4,1.6,35.5,57.2,4.3,72.4,27.6,NA,NA,NA,"Manhattan",40.7633617320005,-73.9905090909996,0,8.1,7.6,7.5,7.9,6.2,5.8,6.6,7,6.2,6.1,6.3,7,6.8,6.5,6.8,7.3
"25","02M394","EMMA LAZARUS HIGH SCHOOL",79,1188,2.5,NA,NA,NA,25,97,250,82.8,0,NA,62.4,7.2,26.4,4,51.2,48.8,10,NA,NA,NA,NA,NA,0,8.9,7.8,7.6,8,8.2,6,7.2,7.8,8.2,7.1,7.3,8,8.4,7,7.4,7.9
"26","02M399","THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",NA,NA,2.5,NA,NA,NA,18,80.8,244,28.3,16.8,15,44.3,15.6,32.8,5.3,48,52,NA,NA,NA,"Manhattan",40.7355194630004,-73.9876042489997,0,8.1,7.3,7.1,7.3,6.3,3.2,4.1,5,6.6,5.7,6.3,6.9,7,5.4,5.8,6.4
"27","02M400","HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",263,1419,213,298,1.39906103286385,51.006711409396,31,56.4,1394,7.1,14.4,47,16.7,14.8,57.2,11.1,50.4,49.6,352,74.4,6.3,"Manhattan",40.7677624390004,-73.9875112139997,0,8.3,7.6,7.6,7.7,7.3,6.4,7.1,7.4,7.1,6.2,7,7.8,7.6,6.7,7.2,7.6
"28","02M407","INSTITUTE FOR COLLABORATIVE EDUCATION",54,1424,2.5,NA,NA,NA,NA,17.9,489,0.4,8.8,2,6.3,10.2,17.6,54.6,55.2,44.8,55,76.4,3.6,"Manhattan",40.7324853780004,-73.9830533879996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","02M408","PROFESSIONAL PERFORMING ARTS HIGH SCHOOL",94,1522,20,20,1,75,29,23.5,502,2,3.2,0,7,19.1,23.7,41.8,25.3,74.7,80,92.5,0,"Manhattan",40.7614326990005,-73.9880236979997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","02M411","BARUCH COLLEGE CAMPUS HIGH SCHOOL",104,1577,78,115,1.47435897435897,76.5217391304348,27,54.6,432,1.6,2.3,0,60.6,5.8,14.6,18.8,44,56,105,98.1,0,"Manhattan",40.7440472480004,-73.9914792989996,0,8.4,7.1,7.1,7.6,8,5.1,6,7.6,7.8,7,7,7.8,8.1,6.4,6.7,7.6
"31","02M412","N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES",114,1677,114,140,1.2280701754386,69.2857142857143,33,21.6,579,1.6,15,0,29.4,8.5,14,45.9,47,53,124,91.1,1.6,"Manhattan",40.7421007130004,-74.0020737969996,0,8.4,8.2,7.9,8.1,7.8,7.7,7.5,8.3,7.5,6.9,7,7.7,7.9,7.6,7.5,8
"32","02M413","SCHOOL OF THE FUTURE HIGH SCHOOL",66,1565,11,11,1,NA,NA,31,673,2.1,14.6,0,16,12.3,26,38,50.8,49.2,95,64.2,2.1,"Manhattan",40.7389488860004,-73.9854051719997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","02M414","N.Y.C. MUSEUM SCHOOL",103,1419,2.5,NA,NA,NA,28,51.6,436,0.5,9.4,0,33,11.7,39.9,15.4,42.4,57.6,106,94.3,1.9,"Manhattan",40.7421007130004,-74.0020737969996,0,8,6.7,6.8,7,6.8,4.7,4.9,5.7,7.1,6.1,6.7,7.4,7.3,5.8,6.1,6.7
"34","02M416","ELEANOR ROOSEVELT HIGH SCHOOL",127,1758,155,235,1.51612903225806,71.9148936170213,27,15.8,507,0.2,1.2,0,17.2,5.5,11.6,63.7,32.5,67.5,127,100,0,"Manhattan",40.7701164710004,-73.9533791009997,0,9,8,8,8.5,8.2,7.1,7.9,8.6,8.1,7,7.4,8.2,8.5,7.4,7.8,8.4
"35","02M418","MILLENNIUM HIGH SCHOOL",144,1614,86,95,1.1046511627907,70.5263157894737,29,32.7,626,0.2,9.1,0,30,8.8,21.7,35.9,38.2,61.8,150,96.7,0,"Manhattan",40.7049203660005,-74.0115140229997,0,8.7,7.6,7.7,8,8.6,6.6,7.4,8.3,7.5,6.9,6.8,7.9,8.3,7,7.3,8.1
"36","02M419","LANDMARK HIGH SCHOOL",62,1170,2.5,NA,NA,NA,23,83.1,421,15.7,18.8,7,5.2,18.1,74.8,1.9,48.5,51.5,94,61.7,13.8,"Manhattan",40.7428881010004,-74.0021273809996,0,8,6.9,6.7,7.3,7.2,5.4,7.1,7,6.7,6.2,6.2,7,7.3,6.2,6.7,7.1
"37","02M420","HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES",336,1306,204,248,1.2156862745098,30.241935483871,32,68,1768,4,10.9,12,20.5,24.4,49.7,5.3,29.4,70.6,341,82.1,0.6,"Manhattan",40.7324853780004,-73.9830533879996,0,7.6,7,7,7.3,7.7,7.2,7.6,7.9,6.5,5.5,6.1,7.1,7.3,6.6,6.9,7.4
"38","02M425","LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL",84,1233,70,84,1.2,38.0952380952381,28,74.2,607,5.4,18.6,45,8.1,30.5,54.2,6.6,46.1,53.9,144,54.2,16,"Manhattan",40.7091465390004,-74.0120766269997,0,7.7,7.1,7,7,6.8,6.6,6.7,7.3,6.1,5.4,6.1,6.9,6.7,6.2,6.5,7.1
"39","02M427","MANHATTAN ACADEMY FOR ARTS & LANGUAGE",NA,NA,2.5,NA,NA,NA,23,97.5,175,86.9,6.9,2,6.3,8,84.6,1.1,54.9,45.1,NA,NA,NA,"Manhattan",40.7461063750005,-73.9810096669996,0,9,8.6,8.1,8.3,9,9,9.7,9.6,7.7,6,7.3,7.6,8.6,7.8,8.4,8.5
"40","02M429","LEGACY SCHOOL FOR INTEGRATED STUDIES",29,1062,22,26,1.18181818181818,NA,20,93.9,294,8.2,22.4,20,1.4,45.2,51.4,1.7,49,51,73,47.9,6.8,NA,NA,NA,0,7.5,7.3,7.1,7,7,6.5,6.9,7.2,6.1,5.8,6,7,6.9,6.5,6.7,7.1
"41","02M437","HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES",NA,NA,2.5,NA,NA,NA,28,61.5,226,8.8,16.4,10,5.8,23.5,62.4,6.6,60.6,39.4,NA,NA,NA,"Manhattan",40.7428881010004,-74.0021273809996,0,8.7,7.6,7.4,7.7,8.7,8.9,9.4,9.4,7,7,6.9,7.5,8.1,7.8,7.9,8.2
"42","02M438","INTERNATIONAL HIGH SCHOOL AT UNION SQUARE",NA,NA,2.5,NA,NA,NA,24,82.8,176,94.9,0.6,0,40.3,12.5,43.2,3.4,61.4,38.6,NA,NA,NA,"Manhattan",40.7355194630004,-73.9876042489997,0,8.8,7.6,7.4,8.1,8.1,7.9,8.1,8.3,7.5,6.8,7.3,7.3,8.1,7.4,7.6,7.9
"43","02M439","MANHATTAN VILLAGE ACADEMY",95,1372,42,69,1.64285714285714,42.0289855072464,21,60.3,429,3.7,8.2,2,6.3,16.8,71.8,4.9,38.5,61.5,110,98.2,0,"Manhattan",40.741494699,-73.9914450529997,0,9.5,8.9,8.3,9,8.7,7.3,7.3,8.6,7.6,6.4,6.9,7.9,8.6,7.5,7.5,8.5
"44","02M440","BAYARD RUSTIN EDUCATIONAL COMPLEX",59,1111,6,6,1,NA,26,75.5,208,26,13.5,9,6.3,27.9,62.5,2.4,63.9,36.1,365,38.1,18.6,NA,NA,NA,0,7.5,6.8,6.4,6.9,6.3,7.4,7.3,7.6,5.9,5.1,5.7,6.1,6.6,6.4,6.5,6.9
"45","02M449","VANGUARD HIGH SCHOOL",72,1199,2.5,NA,NA,NA,19,69.5,444,6.1,17.3,7,9.9,25.7,59,4.5,46.2,53.8,89,44.9,3.4,"Manhattan",40.7654454020005,-73.9602137859997,0,8.4,7.9,7.5,7.9,7.8,7.9,8.4,8.4,7,6.4,6.7,7.5,7.7,7.4,7.6,7.9
"46","02M459","MANHATTAN INTERNATIONAL HIGH SCHOOL",49,1227,12,12,1,50,20,80.7,325,77.5,0.3,0,33.5,14.8,36.9,14.5,44.3,55.7,69,55.1,7.2,"Manhattan",40.7654454020005,-73.9602137859997,0,8.8,7.8,7.4,7.9,7.7,6.5,7.4,7.7,7.8,6.8,6.9,7.6,8.1,7,7.3,7.7
"47","02M460","WASHINGTON IRVING HIGH SCHOOL",151,1120,69,83,1.20289855072464,25.3012048192771,24,66,1032,18.6,17.2,80,4.8,34.3,58.2,2.3,47.5,52.5,443,51.9,26.6,NA,NA,NA,0,7.8,8,7.9,8,6.6,6.4,7.1,7.4,6,5.7,6.1,6.9,6.8,6.7,7,7.5
"48","02M473","WASHINGTON IRVING YABC",NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","02M475","STUYVESANT HIGH SCHOOL",832,2096,1510,2819,1.86688741721854,93.934019155729,31,30.3,3297,0,0.4,0,72.1,1.2,2.4,23.7,59.3,40.7,787,98.3,0.4,"Manhattan",40.7177464150004,-74.0140490429997,0,8.4,7.5,7.7,7.7,7.2,5.6,6.1,7.2,7.5,6.2,7,7.9,7.7,6.4,6.9,7.6
"50","02M489","HIGH SCHOOL OF ECONOMICS AND FINANCE",167,1374,101,176,1.74257425742574,44.3181818181818,27,60.8,809,6.3,11.9,12,24.8,22.5,43.5,8.8,54.5,45.5,177,76.8,7.3,"Manhattan",40.7092196250004,-74.0120259149996,0,8.1,7.3,7.2,7.5,8.7,8.5,8.7,8.7,6.6,5.7,6,7.1,7.8,7.2,7.3,7.8
"51","02M500","UNITY CENTER FOR URBAN TECHNOLOGIES",25,1070,2.5,NA,NA,NA,25,83.5,237,15.6,32.9,14,3.8,35,55.3,2.5,62.4,37.6,53,73.6,11.3,"Manhattan",40.7461063750005,-73.9810096669996,0,8.4,7.8,7.5,7.6,7.5,7,7.3,7.4,7.9,7.4,7.3,7.9,7.9,7.4,7.4,7.6
"52","02M519","TALENT UNLIMITED HIGH SCHOOL",81,1416,30,34,1.13333333333333,61.7647058823529,26,45.5,491,0.2,3.5,0,4.5,36,39.3,19.8,21.4,78.6,136,92.6,0,"Manhattan",40.7654454020005,-73.9602137859997,0,8.2,7.2,7.2,7.4,6.9,5.4,6,6.4,7,6.2,6.8,7.5,7.4,6.3,6.7,7.1
"53","02M520","MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS",264,1240,118,157,1.33050847457627,48.4076433121019,27,72.7,2073,10.2,14.1,108,10.5,39.9,46.6,2.3,49.1,50.9,637,56.4,11.6,"Manhattan",40.7106794710004,-74.0008070209997,0,6.5,6.4,6.5,6.6,5.5,5.3,5.9,6.4,5.7,5.3,5.7,6.5,5.8,5.5,5.9,6.5
"54","02M529","JACQUELINE KENNEDY ONASSIS HIGH SCHOOL",131,1239,80,118,1.475,24.5762711864407,26,73,724,9.8,13.7,30,5.1,22.7,69.9,1.8,40.6,59.4,148,64.9,10.1,"Manhattan",40.7577573860004,-73.9831877929997,0,8.4,7.5,7.5,7.6,6.6,5.8,6.2,6.5,7.1,6,6.7,7.4,7.4,6.4,6.8,7.2
"55","02M531","REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS",42,1253,2.5,NA,NA,NA,24,65.3,217,0.5,5.1,0,1.4,47.9,42.4,7.4,21.2,78.8,49,85.7,8.2,"Manhattan",40.755942582,-73.9845677019997,0,8,6.8,7.1,6.7,5.9,5.3,6,6.2,5.9,5.6,5.7,6.5,6.6,5.9,6.3,6.5
"56","02M542","MANHATTAN BRIDGES HIGH SCHOOL",66,1058,67,102,1.52238805970149,57.843137254902,23,83.5,541,72.6,1.7,5,0.2,0,99.8,0,51.4,48.6,111,69.4,13.5,"Manhattan",40.7650267080004,-73.9925165779997,0,8.8,8.2,7.6,8.4,7.6,6.6,7.5,8.2,7.2,6.2,6.7,7.5,7.9,7,7.3,8
"57","02M543","NEW DESIGN HIGH SCHOOL",73,1168,2.5,NA,NA,NA,23,66.1,423,5.4,17.5,9,3.8,30.3,62.2,2.6,38.3,61.7,101,67.3,7.9,"Manhattan",40.7168672240004,-73.9895319429996,0,8.4,7.8,7.5,8,7.3,5.6,6.9,7.1,7,6.3,6.8,7.4,7.6,6.6,7.1,7.5
"58","02M544","INDEPENDENCE HIGH SCHOOL",14,1095,2.5,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,17.2,13.1,NA,NA,NA,0,9.7,9.6,9.1,9.7,6.1,3.8,5,5.8,9.2,9.3,9.5,9.5,8.3,7.6,7.9,8.4
"59","02M545","HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES",78,1424,61,96,1.57377049180328,92.7083333333333,22,82.6,353,38.2,2.3,0,89.5,3.4,4,2.3,51.3,48.7,54,92.6,0,"Manhattan",40.7168672240004,-73.9895319429996,0,8.6,7.1,7.1,7.4,7.5,5.6,5.8,6.8,NA,NA,NA,NA,7.9,6.2,6.3,6.9
"60","02M550","LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS",26,1156,2.5,NA,NA,NA,19,79.5,397,90.2,2,0,25.7,19.9,42.1,11.8,61,39,97,49.5,19.6,NA,NA,NA,0,8.6,7.8,7.4,8,7,4.7,5.3,6.5,7.7,6.3,7.1,7.5,7.7,6.3,6.6,7.3
"61","02M551","THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL",77,1212,7,7,1,NA,24,73.5,430,4.2,17.9,12,2.3,37.4,49.3,10.2,60.9,39.1,77,80.5,18.2,"Manhattan",40.6907876290004,-74.0197573259996,0,8.3,7.6,7.5,8.1,6.4,6.2,6.9,7.3,6.8,6,6.7,7.4,7.2,6.6,7,7.6
"62","02M560","HIGH SCHOOL M560 s CITY AS SCHOOL",56,1415,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,45.1,0.9,NA,NA,NA,0,8.9,7.9,8,8.1,8.5,8.3,8.6,8.6,8.6,7.2,7.9,8.5,8.6,7.8,8.2,8.4
"63","02M565","URBAN ACADEMY LABORATORY HIGH SCHOOL",30,1547,2.5,NA,NA,NA,NA,32.1,157,1.3,0,NA,5.1,33.8,38.2,20.4,40.8,59.2,46,41.3,2.2,NA,NA,NA,0,10,9.6,9.4,10,9.3,8.3,9.6,9.5,9.1,8.3,8.7,9.3,9.5,8.7,9.2,9.6
"64","02M570","SATELLITE ACADEMY HIGH SCHOOL",33,1032,2.5,NA,NA,NA,NA,72.8,248,6.5,14.1,2,1.6,35.1,59.7,2.8,38.7,61.3,379,12.7,10.8,NA,NA,NA,0,8.9,7.8,7.9,8.4,9.3,8.6,9.4,9.1,8.1,7.1,7.8,7.9,8.8,7.8,8.5,8.5
"65","02M575","MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL",121,1205,58,100,1.72413793103448,61,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,45.4,16.9,NA,NA,NA,0,8.9,7.8,7.7,8.1,8.9,7.5,8.5,9,8.7,6.8,8.1,8.3,8.8,7.4,8.1,8.4
"66","02M580","RICHARD R. GREEN HIGH SCHOOL OF TEACHING",84,1195,67,117,1.74626865671642,34.1880341880342,26,67,610,6.4,21.8,16,2.3,35.1,59.3,2.3,32.6,67.4,134,64.9,11.2,"Manhattan",40.7052349390004,-74.0133150399997,0,8.2,7.6,7.2,7.6,7.8,7.4,7.7,8.2,6.6,5.7,6.4,7,7.5,6.9,7.1,7.6
"67","02M586","HARVEY MILK HIGH SCHOOL",9,1303,2.5,NA,NA,NA,14,75.7,68,1.5,22.1,0,5.9,38.2,39.7,16.2,47.1,52.9,30,40,23.3,NA,NA,NA,0,8.8,7.3,7.2,7.6,6.7,4.9,5.7,6.2,7.4,6.9,7.6,8,7.6,6.4,6.8,7.3
"68","02M600","THE HIGH SCHOOL OF FASHION INDUSTRIES",335,1257,70,87,1.24285714285714,29.8850574712644,31,68.3,1599,2.8,11.5,42,3.8,39.1,52.3,4.1,7.3,92.7,416,87.7,2.4,"Manhattan",40.7451115710004,-73.9959064199996,0,7.9,6.8,7.1,7.3,7.4,7.2,7.3,7.7,6.5,5.6,6.5,7.3,7.3,6.5,6.9,7.4
"69","02M605","HUMANITIES PREPARATORY ACADEMY",36,1255,2.5,NA,NA,NA,24,54,192,1,6.8,0,7.3,21.9,57.8,11.5,42.7,57.3,48,81.3,2.1,"Manhattan",40.7428881010004,-74.0021273809996,0,7.7,6.7,6.8,7.2,7.4,5.6,7,7.5,7,6.7,6.6,7.3,7.4,6.3,6.8,7.3
"70","02M615","CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",83,1207,52,97,1.86538461538462,13.4020618556701,25,69.8,466,6.2,15.7,10,7.1,29.6,60.5,1.5,65,35,173,48,24.9,"Manhattan",40.7243528740004,-74.0047592919997,0,8.4,7.6,7.4,7.9,7,5.8,6.1,7.1,6.5,5.8,6.3,7.3,7.3,6.4,6.6,7.4
"71","02M620","NORMAN THOMAS HIGH SCHOOL",154,1108,34,34,1,41.1764705882353,24,81.1,1127,19.3,15.5,66,1.6,25.6,70.6,2,52,48,464,47.8,22.6,NA,NA,NA,0,7,6.8,6.8,7,6.3,6.3,6.2,6.7,6.2,5.6,6.1,6.8,6.5,6.2,6.4,6.9
"72","02M625","HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS",191,1153,79,85,1.07594936708861,10.5882352941176,27,72.7,1433,9.1,17.2,78,3.1,30.3,63.8,2.6,46.5,53.5,407,49.6,25.1,NA,NA,NA,0,6.7,6.8,6.8,7,6.7,6.4,6.7,7.2,5.7,5.4,5.7,6.5,6.3,6.2,6.4,6.9
"73","02M630","ART AND DESIGN HIGH SCHOOL",270,1315,84,100,1.19047619047619,33,29,53.3,1344,1.6,11.1,32,9,26.8,51,12.6,46.7,53.3,320,67.5,6.9,"Manhattan",40.7654015410004,-73.9817682459997,0,8,6.9,7.2,7.1,8.1,6.4,7.1,7.8,6.7,5.9,6.5,7.2,7.6,6.4,6.9,7.4
"74","02M655","LIFE SCIENCES SECONDARY SCHOOL",61,1236,50,90,1.8,11.1111111111111,24,70.3,717,7.9,19.7,43,3.3,28.6,64.3,2.4,51.6,48.4,118,79.7,5.9,"Manhattan",40.7836442600004,-73.9457417769996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
