"","dbn","school_name","num.of.sat.test.takers","avg_sat_score","ap.test.takers","total.exams.taken","exams_per_student","high_score_percent","avg_class_size","frl_percent","total_enrollment","ell_percent","sped_percent","selfcontained_num","asian_per","black_per","hispanic_per","white_per","male_per","female_per","total.cohort","grads_percent","dropout_percent","boro","lat","long","d75","saf_p_11","com_p_11","eng_p_11","aca_p_11","saf_t_11","com_t_11","eng_t_11","aca_t_11","saf_s_11","com_s_11","eng_s_11","aca_s_11","saf_tot_11","com_tot_11","eng_tot_11","aca_tot_11"
"422","28Q440","FOREST HILLS HIGH SCHOOL",762,1407,733,1116,1.5225102319236,47.1326164874552,31,41.2,3834,8.9,11.3,147,26.5,9,30.2,33.7,48.1,51.9,959,84.6,2.5,"Queens",40.7294315720005,-73.8456290729997,0,7.7,6.9,7.2,7.4,8.1,8.1,8.4,8.5,6.7,5.8,6.6,7.4,7.5,6.9,7.4,7.8
"423","28Q470","JAMAICA HIGH SCHOOL",90,1063,64,76,1.1875,10.5263157894737,25,55.8,564,29.4,14,34,31,41.7,25.9,1.1,58.9,41.1,394,48.2,18.8,NA,NA,NA,0,7.4,6.7,6.8,7.1,7.3,5.3,5.5,6.5,6.2,5.4,5.9,6.7,7,5.8,6.1,6.8
"424","28Q505","HILLCREST HIGH SCHOOL",462,1194,241,362,1.50207468879668,13.8121546961326,29,65,3103,15,9,40,36.5,36.6,22.8,2.9,46.1,53.9,766,64,12.4,"Queens",40.7087575550004,-73.8021274859997,0,8.4,8.2,8.2,8.6,8.4,8.5,8.6,8.8,7,7,7.4,8,7.9,7.9,8.1,8.5
"425","28Q620","THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",422,1372,183,244,1.33333333333333,40.9836065573771,30,54.3,2252,1.4,11.4,111,50.9,23.7,21.1,3.2,65.1,34.9,819,84.9,5.4,"Queens",40.7158762610004,-73.7988223889997,0,7.8,7.6,7.7,7.7,7.7,7.8,7.8,8.4,6.7,5.7,6.5,7.3,7.4,7,7.3,7.8
"426","28Q680","QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL",99,1538,89,136,1.52808988764045,41.9117647058824,28,55.8,783,0.1,1.7,12,36.5,44.8,15.7,2.7,38.1,61.9,117,93.2,0,"Queens",40.7188100940004,-73.8065004549997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","28Q686","QUEENS METROPOLITAN HIGH SCHOOL",NA,NA,2.5,NA,NA,NA,30,47.3,663,3.6,16,20,12.1,4.8,38.6,40.4,49.6,50.4,NA,NA,NA,"Queens",40.7104355480005,-73.8506301549996,0,8.2,7.3,7.4,7.1,6.4,6,6.7,6.9,6.2,6.1,6.4,6.9,6.9,6.5,6.8,7
"428","28Q687","QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE",121,1868,215,338,1.57209302325581,81.3609467455621,26,25.6,418,0.2,0.2,0,74.4,10.5,7.9,6.7,56.5,43.5,107,95.3,0,"Queens",40.700998767,-73.7981535239996,0,8.6,7.7,7.5,7.9,7.4,6.7,7.1,7.9,7.2,6.5,6.8,7.9,7.7,6.9,7.1,7.9
"429","28Q690","HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY",74,1196,19,19,1,NA,29,58.3,536,2.1,16.6,42,8.4,73.7,15.1,1.3,53,47,126,76.2,7.9,"Queens",40.6861780830004,-73.7840829749996,0,7.6,7,7,7.2,7.6,7.3,8.1,8.2,6.1,5.6,6.1,6.8,7.1,6.7,7,7.4
"430","28Q896","YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,1316,6,6,1,NA,22,56.9,510,2.7,9,1,21,57.3,18.4,2.4,0,100,NA,NA,NA,"Queens",40.7082078260004,-73.8040779459997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","29Q248","QUEENS PREPARATORY ACADEMY",52,1099,15,15,1,NA,26,52.6,441,4.5,11.3,6,5.2,84.4,8.2,0.9,56,44,95,71.6,10.5,"Queens",40.6682322880004,-73.7568398939997,0,7.7,7.7,7.7,8,5.7,6.2,6.7,6.8,6.1,6.1,6.7,7.4,6.5,6.7,7,7.4
"432","29Q259","PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL",46,1173,29,71,2.44827586206897,NA,26,48.8,555,2.3,16,18,2.2,94.2,2.9,0.7,53.3,46.7,64,81.3,9.4,"Queens",40.7063876580005,-73.7535300219997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","29Q265","EXCELSIOR PREPARATORY HIGH SCHOOL",49,1202,2.5,NA,NA,NA,25,50.8,443,2.3,14.7,9,4.3,82.8,9.7,0.5,56.9,43.1,91,60.4,2.2,"Queens",40.6682322880004,-73.7568398939997,0,7.5,6.9,6.8,7.3,7.4,7.7,7.9,8.4,5.7,5.7,6.2,7.1,6.9,6.7,7,7.6
"434","29Q272","GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES",59,1287,14,21,1.5,NA,28,45,474,1.7,9.1,4,9.3,73.8,14.1,1.3,47.3,52.7,103,78.6,2.9,"Queens",40.6682322880004,-73.7568398939997,0,7.8,7.3,7.3,7.7,7.2,7.7,7.8,7.9,5.9,5.5,6.2,7.1,7,6.8,7.1,7.6
